num,field,money,levelTest
1,금속재료,2천만원대,중
2,어업,3천중반대,최하
3,어업,3천중반대,최하
4,안전관리,3천후반대,중
5,안전관리,3천후반대,중
6,안전관리,3천후반대,중
7,안전관리,3천후반대,중
8,안전관리,3천후반대,중
9,안전관리,3천후반대,중
10,안전관리,3천후반대,중
11,안전관리,3천후반대,중
12,안전관리,3천후반대,중
13,안전관리,3천후반대,중
14,안전관리,3천후반대,중
15,안전관리,3천후반대,중
16,안전관리,3천후반대,중
17,안전관리,3천후반대,중
18,안전관리,3천후반대,중
19,안전관리,3천후반대,중
20,안전관리,3천후반대,중
21,용접,3천후반대,중
22,용접,3천후반대,중
23,용접,3천후반대,중
24,용접,3천후반대,중
25,용접,3천후반대,중
26,용접,3천후반대,중
27,금형공작기계,3천중반대,최하
28,금형공작기계,3천중반대,최하
29,농업,6천중반대,상
30,농업,6천중반대,상
31,농업,6천중반대,상
32,농업,6천중반대,상
33,농업,6천중반대,상
34,농업,6천중반대,상
35,식품,3천초반대,중상
36,식품,3천초반대,중상
37,식품,3천초반대,중상
38,식품,3천초반대,중상
39,식품,3천초반대,중상
40,식품,3천초반대,중상
41,식품,3천초반대,중상
42,식품,3천초반대,중상
43,식품,3천초반대,중상
44,안전관리,3천중반대,최하
45,안전관리,3천중반대,최하
46,안전관리,3천중반대,최하
47,안전관리,3천중반대,최하
48,안전관리,3천중반대,최하
49,안전관리,3천중반대,최하
50,안전관리,3천중반대,최하
51,안전관리,3천중반대,최하
52,금속재료,3천후반대,최하
53,금속재료,3천후반대,최하
54,금속재료,3천후반대,최하
55,금속재료,3천후반대,최하
56,금속재료,3천후반대,최하
57,금속재료,3천후반대,최하
58,금속재료,3천후반대,최하
59,금속재료,3천후반대,최하
60,금속재료,3천후반대,최하
61,금속재료,3천후반대,최하
62,금속재료,3천후반대,최하
63,금속재료,3천후반대,최하
64,금속재료,3천후반대,최하
65,금속재료,3천후반대,최하
66,금속재료,3천후반대,최하
67,안전관리,3천중반대,중하
68,안전관리,3천중반대,중하
69,어업,3천중반대,중하
70,건축,3천후반대,중하
71,디자인,6천초반대,중상
72,용접,5천초반대,최상
73,용접,5천초반대,최상
74,기계장비설비,4천초반대,최하
75,기계장비설비,4천초반대,최하
76,기계장비설비,4천초반대,최하
77,건축,없음,중
78,기계제작,3천중반대,중
79,비파괴검사,4천초반대,하
80,비파괴검사,4천초반대,중상
81,비파괴검사,4천초반대,하
82,비파괴검사,4천초반대,하
83,도시교통,6천초반대,중상
84,에너지기상,6천중반대,중상
85,에너지기상,4천중반대,하
86,건축,없음,최하
87,건축,없음,최하
88,건축,없음,중
89,건축,없음,중상
90,생산관리,4천후반대,하
91,도시교통,5천초반대,하
92,없음,6천중반대,하
93,디자인,3천후반대,하
94,건축,없음,중상
95,비파괴검사,5천초반대,하
96,농업,4천중반대,중상
97,건축,없음,중상
98,없음,6천초반대,최하
99,도시교통,없음,중
,,,
